[The, 26]
[contentándonos, 1]
[menor, 23]
[grado, 26]
[posible, 42]
[maldad, 12]
[cerrado, 21]
[ciclo, 1]
[santos, 29]
[despierta, 9]
[simpatía, 9]
[atleta, 4]
[luchando, 3]
[sostener, 8]
[espaldas, 15]
[exorbitante, 1]
[abrumadora, 1]
[pesadumbre, 4]
[juventud, 63]
[tremenda, 5]
[coloso, 2]
[posición, 11]
[elegida, 1]
[erradamente, 1]
[levítico, 2]
[gallarda, 3]
[pareja, 18]
[vigorosa, 4]
[madre, 283]
[modelada, 2]
[arcilla, 1]
[grosera, 14]
[impresas, 1]
[puñetazos, 2]
[salvaje, 14]
[dirige, 2]
[cría, 6]
[cariño, 53]
[rudo, 1]
[voluntad, 63]
[feroz, 3]
[bellas, 5]
[Completan, 1]
[humanidad, 13]
[cumplido, 20]
[caballero, 36]
[vislumbres, 1]
[calderonianas, 2]
[compañero, 13]
[empresas, 7]
[cinegéticas, 1]
[graciosísimo, 2]
[Frígilis, 210]
[marqueses, 14]
[Vegallana, 132]
[hijo, 250]
[encantadora, 1]
[pizpiretas, 1]
[señoras, 95]
[componen, 1]
[femenil, 3]
[rebaño, 4]
[canónigos, 17]
[sacristanes, 2]
[prelado, 7]
[apóstol, 9]
[ingenuo, 1]
[fogoso, 3]
[debemos, 2]
[Carraspique, 46]
[Barinaga, 57]
[ateo, 31]
[turbamulta, 1]
[figuras, 13]
[secundarias, 1]
[dan, 13]
[total, 4]
[impresión, 12]
[colectiva, 3]
[heterogénea, 1]
[picantes, 5]
[matices, 6]
[espléndida, 4]
[variedad, 9]
[acentos, 1]
[fisonomías, 1]
[Bien, 48]
[concretar, 1]
[artículo, 6]
[examen, 12]
[extendiéndome, 1]
[expresar, 7]
[siento, 22]
[entera, 19]
[superior, 46]
[cortas, 2]
[facultades, 16]
[crítico, 8]
[además, 138]
[rebasaría, 1]
[medida, 13]
[limitada, 1]
[prefación, 1]
[Escribo, 1]
[intenté, 1]
[entonces, 177]
[tributando, 2]
[amigo, 170]
[debido, 10]
[homenaje, 4]
[manifestación, 7]
[tardía, 2]
[avalora, 1]
[aquilata, 1]
[entraré, 1]
[estudio, 13]
[integral, 1]
[creador, 1]
[distintos, 2]
[infatigable, 1]
[luchador, 1]
[rica, 18]
[escribe, 4]
[acertaría, 1]
[encerrarla, 1]
[clara, 25]
[síntesis, 5]
[empeño, 14]
[pusiera, 5]
[Otros, 13]
[harán, 1]
[método, 2]
[serenidad, 3]
[convenientes, 1]
[llegue, 6]
[ofrecer, 10]
[ilustre, 32]
[Asturias, 1]
[consagración, 2]
[solemne, 49]
[oficial, 5]
[extraordinario, 6]
[será, 61]
[justa, 6]
[necesaria, 11]
[Como, 93]
[Armando, 2]
[Palacio, 14]
[está, 222]
[literatura, 10]
[apremiante, 1]
[deuda, 7]
[Esperando, 1]
[reparación, 3]
[regiones, 16]
[América, 9]
[relieve, 5]
[valía, 40]
[final, 8]
[empezamos, 1]
[inspiración, 9]
[tiende, 1]
[sacudir, 10]
[pesimismo, 9]
[diciendo, 72]
[terruño, 1]
[estéril, 6]
[afirman, 2]
[aún, 55]
[dentro, 205]
[Quizás, 1]
[demos, 2]
[fruto, 8]
[conveniente, 3]
[flores, 37]
[viéndolas, 1]
[admirándolas, 1]
[responda, 1]
[obligados, 3]
[sentimos, 1]
[conservar, 10]
[cuidar, 9]
[árbol, 14]
[B, 6]
[Pérez, 1]
[Galdós, 1]
[enero, 2]
[1901, 1]
[Tomo, 1]
[I, 13]
[heroica, 4]
[dormía, 35]
[siesta, 8]
[viento, 35]
[Sur, 8]
[caliente, 15]
[perezoso, 11]
[empujaba, 5]
[nubes, 53]
[blanquecinas, 1]
[rasgaban, 3]
[correr, 53]
[Norte, 16]
[ruido, 111]
[rumor, 22]
[estridente, 13]
[remolinos, 3]
[polvo, 47]
[trapos, 9]
[pajas, 2]
[papeles, 24]
[iban, 79]
[arroyo, 11]
[acera, 14]
[esquina, 24]
[revolando, 1]
[persiguiéndose, 1]
[mariposas, 5]
[buscan, 4]
[huyen, 1]
[aire, 132]
[envuelve, 2]
[pliegues, 14]
[invisibles, 11]
[Cual, 1]
[turbas, 2]
[pilluelos, 3]
[aquellas, 226]
[migajas, 2]
[basura, 4]
[sobras, 1]
[juntaban, 5]
[montón, 20]
[parábanse, 1]
[dormidas, 2]
[momento, 185]
[brincaban, 1]
[sobresaltadas, 1]
[dispersándose, 1]
[trepando, 1]
[unas, 89]
[paredes, 34]
[cristales, 33]
[temblorosos, 2]
[faroles, 14]
[carteles, 2]
[papel, 81]
[pegado, 12]
[esquinas, 3]
[pluma, 22]
[llegaba, 96]
[tercer, 10]
[piso, 41]
[arenilla, 1]
[incrustaba, 2]
[vidriera, 3]
[escaparate, 4]
[agarrada, 5]
[plomo, 13]
[noble, 59]
[leal, 2]
[corte, 14]
[lejano, 19]
[hacía, 301]
[digestión, 4]
[cocido, 3]
[olla, 5]
[podrida, 9]
[descansaba, 5]
[oyendo, 26]
[sueños, 37]
[monótono, 8]
[zumbido, 2]
[campana, 7]
[coro, 60]
[retumbaba, 2]
[allá, 189]
[esbelta, 8]
[Santa, 69]
[Basílica, 5]
[catedral, 115]
[poema, 13]
[romántico, 43]
[piedra, 48]
[delicado, 12]
[himno, 6]
[dulces, 29]
[líneas, 14]
[belleza, 29]
[muda, 12]
[perenne, 4]
[diez, 53]
[seis, 43]
[comenzada, 2]
[gótico, 3]
[cabe, 6]
[moderado, 2]
[instinto, 33]
[prudencia, 22]
[armonía, 16]
[modificaba, 1]
[vulgares, 27]
[exageraciones, 8]
[arquitectura, 9]
[vista, 51]
[fatigaba, 2]
[contemplando, 14]
[horas, 167]
[índice, 5]
[señalaba, 7]
[cielo, 121]
[esas, 61]
[torres, 3]
[aguja, 4]
[quiebra, 3]
[flacas, 6]
[esbeltas, 2]
[amaneradas, 4]
[señoritas, 42]
[cursis, 11]
[aprietan, 1]
[corsé, 4]
[maciza, 1]
[perder, 60]
[grandeza, 21]
[segundos, 7]
[corredores, 4]
[balaustrada, 2]
[subía, 37]
[castillo, 6]
[lanzándose, 1]
[pirámide, 2]
[ángulo, 7]
[gracioso, 14]
[inimitable, 2]
[medidas, 8]
[proporciones, 7]
[haz, 5]
[músculos, 15]
[nervios, 36]
[enroscándose, 2]
[trepaba, 1]
[altura, 15]
[equilibrios, 1]
[acróbata, 1]
[juegos, 17]
[malabares, 1]
[punta, 20]
[caliza, 2]
[mantenía, 4]
[imantada, 1]
[bola, 4]
[bronce, 12]
[dorado, 9]
[encima, 50]
[pequeña, 13]
[cruz, 44]
[hierro, 48]
[acababa, 67]
[pararrayos, 1]
[Cuando, 172]
[solemnidades, 6]
[cabildo, 17]
[mandaba, 23]
[iluminar, 4]
[vasos, 4]
[colores, 37]
[parecía, 305]
[destacándose, 5]
[tinieblas, 25]
[romántica, 16]
[mole, 2]
[perdía, 27]
[galas, 1]
[inefable, 17]
[elegancia, 16]
[perfil, 9]
[tomaba, 50]
[contornos, 7]
[enorme, 7]
[botella, 3]
[champaña, 7]
[Mejor, 22]
[contemplarla, 2]
[noche, 305]
[luna, 69]
[resaltando, 2]
[puro, 52]
[rodeada, 13]
[estrellas, 22]
[parecían, 101]
[aureola, 10]
[doblándose, 4]
[luz, 170]
[fantasma, 8]
[gigante, 2]
[velaba, 12]
[negruzca, 2]
[pies, 133]
[Bismarck, 20]
[pillo, 9]
[apodo, 4]
[clase, 71]
[empuñaba, 3]
[sobado, 4]
[cordel, 8]
[atado, 13]
[badajo, 3]
[Wamba, 4]
[llamaba, 150]
[venerables, 8]
[preeminentes, 1]
[calidades, 2]
[privilegios, 3]
[delantero, 10]
[diligencia, 11]
[tralla, 3]
[según, 228]
[aficiones, 10]
[llevaban, 26]
[campanarios, 3]
[delegación, 1]
[Celedonio, 26]
[iglesia, 74]
[acólito, 9]
[funciones, 13]
[campanero, 4]
[tampoco, 76]
[propiedad, 12]
[diplomático, 5]
[disfrutaba, 5]
[algunos, 129]
[honra, 40]
[despertar, 26]
[venerando, 1]
[beatífica, 2]
[convocándole, 1]
[rezos, 1]
[cánticos, 10]
[peculiar, 4]
[incumbencia, 3]
[ordinariamente, 7]
[bromista, 3]
[alegre, 60]
[revoltoso, 1]
[manejaba, 8]
[arúspice, 1]
[posaba, 1]
[hora, 190]
[decía, 509]
[sentía, 205]
[algo, 401]
[responsabilidad, 12]
[reloj, 34]
[ceñida, 9]
[negra, 34]
[sucia, 18]
[raída, 2]
[estaba, 836]
[asomado, 2]
[ventana, 37]
[escupía, 3]
[desdén, 20]
[colmillo, 1]
[plazuela, 8]
[antojaba, 31]
[disparaba, 3]
[chinitas, 1]
[raro, 11]
[transeúnte, 2]
[tamaño, 10]
[importancia, 22]
[ratoncillo, 2]
[Aquella, 92]
[inspiraba, 8]
[terrenas, 1]
[Mia, 4]
[tú, 164]
[Chiripa, 2]
[pué, 1]
[monaguillo, 7]
[escupiendo, 1]
[disparó, 3]
[media, 107]
[patata, 2]
[asada, 1]
[calle, 135]
[apuntando, 5]
[canónigo, 83]
[tocarle, 5]
[Qué, 438]
[respondió, 19]
[campanario, 8]
[adulaba, 2]
[trataba, 83]
[puntapiés, 3]
[arrancaba, 6]
[viva, 23]
[llaves, 15]
[subir, 41]
[tocar, 18]
[oraciones, 11]
[Tú, 31]
[pués, 1]
[toos, 2]
[delanteros, 1]
[Porque, 37]
[echas, 1]
[zancadilla, 1]
[mainate, 4]
[eres, 47]
[chico, 20]
[quiés, 1]
[l, 3]
[atice, 1]
[señor, 434]
[entra, 11]
[Le, 131]
[conoces, 2]
[ahí, 70]
[Claro, 18]
[bobo, 5]
[conozco, 20]
[menear, 2]
[manteos, 7]
[ven, 18]
[ves, 22]
[pa, 5]
[lante, 1]
[fachenda, 1]
[gasta, 2]
[Ya, 209]
[beneficiao, 2]
[Pedro, 55]
[día, 345]
[Ese, 24]
[tié, 2]
[orgullo, 58]
[Rodrigo, 3]
[horca, 4]
[reía, 24]
[verás, 7]
[pasao, 1]
[Anda, 13]
[mozo, 58]
[te, 259]
[conoce, 18]
[colorete, 1]
[paece, 1]
[pinta, 3]
[cara, 116]
[negó, 10]
[tenía, 748]
[envidia, 47]
[dinidad, 1]
[mote, 1]
[sacao, 1]
[cajas, 6]
[cerillas, 2]
[daría, 14]
[zagal, 2]
[Pues, 184]
[claro, 113]
[fuese, 103]
[vamos, 50]
[ay, 20]
[hablaba, 193]
[Roque, 4]
[mayoral, 1]
[correo, 10]
[sabes, 55]
[pescas, 1]
[humilde, 42]
[dijéramos, 3]
[rebajarse, 1]
[achantarse, 1]
[aguantar, 4]
[bofetá, 1]
[viene, 39]
[Papa, 5]
[criao, 1]
[criaos, 1]
[Eso, 83]
[boquirris, 1]
[replicó, 7]
[manda, 22]
[rey, 27]
[vi, 8]
[pintao, 1]
[santo, 58]
[mu, 1]
[sentao, 1]
[coche, 62]
[butaca, 9]
[mulas, 1]
[tiro, 22]
[carcas, 1]
[curas, 49]
[espantando, 1]
[moscas, 9]
[paraguas, 17]
[teatro, 132]
[sabré, 7]
[acaloró, 2]
[debate, 3]
[defendía, 13]
[primitiva, 3]
[esplendores, 3]
[culto, 45]
[amenazó, 8]
[interino, 1]
[pedirle, 10]
[dimisión, 4]
[aludió, 3]
[embozadamente, 2]
[ciertas, 59]
[bofetadas, 12]
[probables, 7]
[bajando, 13]
[sonó, 3]
[tejado, 6]
[llamó, 32]
[Laudes, 2]
[gritó, 106]
[toca, 17]
[avisan, 2]
[empuñó, 2]
[azotó, 5]
[metal, 6]
[porra, 1]
[Tembló, 1]
[cerró, 15]
[alarde, 14]
[imperturbable, 2]
[estuviera, 27]
[leguas, 18]
[campanadas, 8]
[poderosas, 3]
[arrebataba, 1]
[vibraciones, 5]
[sierra, 12]
[vecina, 7]
[extensos, 3]
[campos, 11]
[brillaban, 19]
[lejos, 141]
[verdes, 22]
[cien, 49]
[Empezaba, 8]
[Otoño, 5]
[prados, 28]
[renacían, 1]
[yerba, 23]
[crecido, 4]
[fresca, 26]
[últimas, 20]
[lluvias, 4]
[Septiembre, 6]
[castañedos, 1]
[robledales, 1]
[pomares, 1]
[hondonadas, 1]
[laderas, 5]
[extendían, 4]
[sembrados, 1]
[ancho, 19]
[valle, 8]
[destacaban, 2]
[maizales, 1]
[tonos, 7]
[obscuros, 10]
[paja, 7]
[trigo, 4]
[amarilleaba, 1]
[tanta, 47]
[verdura, 11]
[casas, 32]
[labranza, 1]
[algunas, 89]
[quintas, 2]
[blancas, 13]
[esparcidas, 4]
[reflejaban, 6]
[espejos, 4]
[Aquel, 95]
[verde, 54]
[esplendoroso, 3]
[tornasoles, 4]
[dorados, 7]
[plata, 39]
[apagaba, 3]
[cubriera, 1]
[falda, 25]
[cumbre, 4]
[nube, 11]
[invisible, 11]
[tinte, 6]
[rojizo, 1]
[aparecía, 19]
[calvicies, 1]
[vegetación, 2]
[variada, 1]
[Noroeste, 5]
[dejaba, 115]
[libre, 82]
[alejaba, 9]
[horizonte, 20]
[señalado, 8]
[siluetas, 3]
[montañas, 6]
[desvanecidas, 1]
[niebla, 21]
[deslumbraba, 2]
[polvareda, 1]
[luminosa, 3]
[adivinaba, 10]
[mar, 70]
[detrás, 93]
[arco, 12]
[perfecto, 4]
[despejado, 2]
[surcaban, 1]
[naves, 9]
[ligeras, 4]
[nubecillas, 4]
[pálido, 53]
[Un, 112]
[jirón, 1]
[leve, 11]
[apagada, 5]
[flotando, 3]
[azul, 32]
[blanquecino, 5]
[Cerca, 5]
[ruedos, 1]
[cultivo, 4]
[abono, 7]
[mucha, 78]
[esmerado, 1]
[producía, 13]
[tierra, 108]
[exacto, 7]
[dibujándose, 1]
[pardo, 8]
[constantemente, 2]
[removida, 1]
[regada, 1]
[Alguien, 2]
[caracol, 4]
[pilletes, 5]
[miraron, 10]
[estupefactos, 2]
[Quién, 87]
[osado, 6]
[Será, 14]
[preguntó, 81]
[airado, 4]
[temeroso, 6]
[carca, 4]
[oyes, 7]
[manteo, 29]
[razón, 101]
[roce, 10]
[silbante, 1]
[impusiera, 1]
[silencio, 125]
[apareció, 15]
[escotillón, 1]
[santa, 41]
[provisor, 2]
[sintió, 162]
[escalofríos, 17]
[Pensó, 8]
[Vendrá, 1]
[pegarnos, 1]
[motivo, 57]
[eso, 421]
[importaba, 55]
[Él, 122]
[vivía, 45]
[acostumbrado, 10]
[recibir, 19]
[empingorotados, 1]
[figuraba, 60]
[usando, 5]
[abusando, 5]
[autoridad, 22]
[repartir, 2]
[cachetes, 1]
[discutía, 12]
[legitimidad, 2]
[prerrogativa, 3]
[huir, 34]
[figuraban, 9]
[polizontes, 1]
[avenía, 1]
[cuyos, 14]
[efectos, 12]
[procuraba, 38]
[evitar, 29]
[hubiera, 248]
[alcalde, 30]
[fontanero, 1]
[guarda, 5]
[Jardín, 1]
[Botánico, 1]
[empleado, 11]
[casillas, 4]
[sereno, 30]
[suma, 29]
[puntapié, 4]
[sabía, 344]
[mainates, 1]
[escapar, 12]
[O, 21]
[tirarse, 2]
[nublado, 4]
[interceptado, 1]
[recurso, 4]
[hacerse, 40]
[ovillo, 2]
[esconderse, 3]
[encaramado, 3]
[viga, 2]
[aguardar, 2]
[acontecimientos, 9]
[extrañaba, 5]
[visita, 42]
[Recordaba, 13]
[haber, 161]
[visto, 213]
[tardes, 14]
[iba, 396]
[respetable, 31]
[preguntaban, 7]
[callaba, 29]
[sonreía, 45]
[complaciéndose, 2]
[pavor, 8]
[continente, 8]
[altivo, 4]
[convertido, 15]
[actitud, 11]
[revestido, 1]
[repente, 104]
[doce, 36]
[trece, 3]
[chato, 2]
[exigencias, 10]
[liturgia, 2]
[Sus, 32]
[castaño, 16]
[sucio, 13]
[pillastre, 4]
[eclesiásticas, 2]
[movía, 34]
[afectación, 7]
[arriba, 91]
[imitando, 3]
[sacerdotes, 13]
[conocía, 69]
[daba, 211]
[intención, 26]
[lúbrica, 6]
[cínica, 3]
[mirada, 83]
[meretriz, 2]
[calleja, 14]
[anuncia, 6]
[triste, 112]
[comercio, 29]
[policía, 5]
[reivindicar, 1]
[derechos, 18]
[moral, 83]
[pública, 22]
[boca, 118]
[abierta, 21]
[desdentada, 1]
[seguía, 96]
[manera, 85]
[aspavientos, 10]
[pasaba, 86]
[feo, 14]
[tolerable, 7]
[asqueroso, 6]
[anuncian, 2]
[asomos, 5]
[turgentes, 3]
[sexo, 22]
[adivinar, 16]
[futura, 10]
[próxima, 15]
[perversión, 7]
[instintos, 17]
[naturales, 26]
[provocada, 3]
[aberraciones, 3]
[torcida, 9]
[quería, 356]
[imitar, 15]
[manchada, 2]
[cera, 26]
[acompasados, 2]
[ondulantes, 3]
[movimientos, 24]
[Anacleto, 3]
[creyendo, 18]
[manifestar, 4]
[gesticulaba, 3]
[hembra, 15]
[desfachatada, 4]
[sirena, 1]
[cuartel, 6]
[notado, 23]
[Palomo, 10]
[perrero, 3]
[atrevido, 15]
[comunicar, 3]
[aprensiones, 24]
[obedeciendo, 2]
[criterio, 12]
[merced, 10]
[desempeñado, 1]
[treinta, 23]
[seguidos, 5]
[prestigio, 16]
[complejas, 1]
[aseo, 1]
[vigilancia, 6]
[presencia, 90]
[cruzado, 6]
[brazos, 109]
[inclinado, 5]
[apearse, 6]
[Rúa, 5]
[escarabajo, 1]
[mostraba, 14]
[humillados, 5]
[aterrados, 1]
[apenas, 67]
[cintura, 11]
[Veía, 10]
[enfrente, 48]
[tersa, 12]
[escultóricos, 1]
[rectos, 1]
[simétricos, 3]
[rico, 24]
[castor, 3]
[delgado, 11]
[flotaba, 2]
[seda, 33]
[abundante, 6]
[vuelos, 4]
[veía, 193]
[bajos, 16]
[admiraba, 30]
[Aquello, 48]
[señorío, 7]
[Ni, 73]
[mancha, 7]
[calzaban, 1]
[morada, 11]
[fueran, 36]
[zapato, 5]
[esmerada, 1]
[piel, 36]
[fina, 21]
[lucía, 17]
[hebilla, 3]
[sencilla, 13]
[color, 72]
[hubieran, 37]
[mirar, 40]
[asomar, 5]
[cejijunto, 3]
[notar, 32]
[campaneros, 3]
[levemente, 5]
[turbado, 6]
[seguida, 45]
[sonriente, 25]
[suavidad, 18]
[resbaladiza, 2]
[bondad, 14]
[estereotipada, 1]
[labios, 72]
[Tenía, 68]
[pintaba, 4]
[estucado, 1]
[efecto, 100]
[tez, 2]
[blanca, 50]
[reflejos, 14]
[estuco, 6]
[pómulos, 5]
[avanzados, 6]
[bastante, 54]
[afearlo, 1]
[ligero, 11]
[encarnado, 7]
[tiraba, 5]
[alzacuello, 6]
[medias, 25]
[pregonero, 1]
[alcohol, 17]
[rojo, 19]
[brota, 1]
[mejillas, 48]
[amor, 382]
[vergüenza, 76]
[pronuncian, 2]
[cerca, 137]
[parecen, 13]
[imanes, 1]
[atraen, 1]
[Esta, 74]
[especie, 74]
[congestión, 1]
[causa, 44]
[orgasmo, 1]
[pintas, 2]
[rapé, 2]
[notable, 7]
[liquen, 1]
[ocasiones, 23]
[crasitud, 2]
[pegajosa, 8]
[salía, 72]
[resplandor, 4]
[punzante, 5]
[sorpresa, 19]
[desagradable, 4]
[almohada, 6]
[plumas, 9]
[resistían, 1]
[asco, 28]
[audaz, 4]
[sufría, 6]
[humillaba, 9]
[cubriéndola, 1]
[telón, 9]
[carnoso, 1]
[párpados, 13]
[anchos, 7]
[gruesos, 5]
[insignificantes, 11]
[carne, 93]
[informe, 1]
[nariz, 13]
[larga, 42]
[recta, 1]
[corrección, 7]
[sobrada, 1]
[extremo, 31]
[inclinaba, 16]
[peso, 21]
[excesivo, 4]
[muerta, 25]
[escrito, 27]
[griego, 10]
[leer, 62]
[traducir, 5]
[pensaba, 265]
[delgados, 3]
[finos, 13]
[pálidos, 11]
[vivir, 85]
[comprimidos, 3]
[barba, 21]
[tendía, 7]
[amenazando, 2]
[vejez, 20]
[lejana, 8]
[entablar, 4]
[relaciones, 50]
[claudicante, 2]
[defecto, 6]
[apariencias, 21]
[cobarde, 21]
[hipocresía, 17]
[frío, 101]
[calculador, 1]
[egoísmo, 22]
[Podía, 15]
[asegurarse, 3]
[aquellos, 296]
[guardaban, 7]
[tesoro, 11]
[palabra, 111]
[jamás, 106]
[pronuncia, 1]
[puntiaguda, 3]
[levantisca, 1]
[semejaba, 3]
[candado, 1]
[formada, 4]
[espeso, 16]
[cabello, 13]
[negro, 88]
[recortado, 1]
[robusto, 16]
[cuello, 46]
[blanco, 59]
[recios, 3]
[proporcionado, 1]
[tronco, 15]
[extremidades, 2]
[fornido, 5]
[aldea, 48]
[jugador, 7]
[bolos, 4]
[partido, 53]
[lucir, 6]
[entallada, 1]
[apuesto, 3]
[azotacalles, 1]
[tratara, 6]
[saludó, 21]
[doblando, 2]
[graciosamente, 1]
[extendiendo, 6]
[derecha, 36]
[afilados, 4]
[dedos, 63]
[cuidada, 1]
[aristocrática, 3]
[contestó, 59]
[genuflexión, 3]
[ayudar, 7]
[misa, 35]
[oculto, 12]
[espanto, 20]
[sacaba, 18]
[bolsillo, 21]
[interior, 28]
[tubo, 3]
[pareció, 45]
[Vio, 11]
[estirar, 9]
[goma, 4]
[convertía, 14]
[luego, 40]
[tres, 156]
[pegados, 1]
[Indudablemente, 8]
[aquello, 283]
[cañón, 8]
[suficiente, 26]
[acabar, 10]
[insignificante, 17]
[fusil, 5]
[acercaba, 23]
[puntería, 3]
[respiró, 8]
[personilla, 3]
[disparo, 1]
[apuntaba, 7]
[puntillas, 16]
[acercado, 6]
[Provisor, 153]
[seguir, 44]
[dirección, 12]
[catalejo, 9]
[entraba, 60]
[confianza, 55]
[supiera, 32]
[anteojo, 5]
[reiría, 2]
[narices, 21]
[Uno, 11]
[recreos, 1]
[solitarios, 6]
[consistía, 22]
[alturas, 3]
[montañés, 7]
[buscaba, 33]
[cumbres, 3]
[montes, 20]
[países, 7]
[visitado, 2]
[subido, 13]
[montaña, 23]
[alta, 59]
[soberbia, 9]
[enterado, 13]
[viese, 10]
[pájaro, 9]
[abarcándola, 1]
[completo, 25]
[aldeas, 12]
[acompañando, 3]
[emprender, 10]
[caballo, 43]
[pudiera, 76]
[excursión, 6]
[empingorotado, 1]
[provincia, 55]
[abundaban, 4]
[partes, 51]
[arduos, 2]
[elevados, 1]
[ascendía, 1]
[atrás, 83]
[andarín, 1]
[experto, 4]
[Cuanto, 5]
[ansiaba, 3]
[fatiga, 16]
[fiebre, 34]
[vigor, 18]
[piernas, 47]
[fragua, 5]
[pulmones, 3]
[Llegar, 1]
[triunfo, 32]
[voluptuoso, 12]
[Ver, 2]
[columbrar, 2]
[contemplar, 18]
[pueblos, 20]
[juguetes, 3]
[imaginarse, 2]
[infusorios, 1]
[águila, 3]
[milano, 1]
[parajes, 8]
[debajo, 78]
[enseñándole, 3]
[dorso, 1]
[sol, 108]
[intensos, 5]
[altanero, 1]
[Entonces, 57]
[fuego, 78]
[dardos, 1]
[saciar, 7]
[pasión, 163]
[contentarse, 12]
[Solía, 9]
[hacerlo, 18]
[mañana, 135]
[tarde, 237]
[convenía, 25]
[alguna, 92]
[aprovechando, 2]
[descuido, 12]
[mirado, 16]
[atracción, 1]
[altos, 14]
[perfectamente, 23]
[guapísima, 4]
[pasearse, 2]
[leyendo, 16]
[huerta, 49]
[Parque, 26]
[tocarla, 4]
[palacio, 30]
[rinconada, 3]
[Plaza, 17]
[Nueva, 23]
[San, 116]
[Pelayo, 1]
[billar, 8]
[junto, 79]
[María, 35]
[bolas, 4]
[marfil, 8]
[rodando, 4]
[mesa, 113]
[quiá, 2]
[balcón, 96]
[ventanillo, 1]
[grillera, 1]
[Mientras, 40]
[baja, 38]
[acercarse, 25]
[paseaba, 19]
[lentamente, 5]
[miradas, 55]
[escudriñando, 2]
[levantando, 5]
[techos, 2]
[aplicando, 2]
[inspección, 2]
[minuciosa, 1]
[estudia, 4]
[microscopio, 2]
[pequeñeces, 4]
[cuerpos, 6]
[miraba, 91]
[contemplaba, 20]
[lontananza, 13]
[salían, 34]
[demás, 205]
[tenían, 116]
[sabio, 36]
[teólogo, 7]
[filósofo, 28]
[jurisconsulto, 6]
[estimaba, 16]
[ciencia, 54]
[palmo, 8]
[escudriñado, 1]
[Lo, 207]
[gula, 2]
[anatomía, 2]
[fisiólogo, 1]
[estudiar, 10]
[gastrónomo, 2]
[busca, 22]
[bocados, 7]
[apetitosos, 2]
[aplicaba, 7]
[escalpelo, 1]
[trinchante, 1]
[resignación, 11]
[soñado, 22]
[destinos, 3]
[renunciaba, 5]
[recuerdos, 61]
[heroico, 5]
[guardaba, 17]
[memoria, 46]
[brillantes, 14]
[cuadros, 26]
[ambición, 29]
[pintado, 6]
[fantasía, 33]
[oficiando, 1]
[pontifical, 1]
[Toledo, 3]
[asistiendo, 3]
[Roma, 11]
[cónclave, 4]
[cardenales, 1]
[tiara, 3]
[pareciera, 9]
[ancha, 16]
[importante, 18]
[andando, 11]
[vaporosos, 1]
[alejaran, 1]
[perspectivas, 1]
[acercamos, 1]
[término, 9]
[distante, 3]
[objeto, 29]
[deseado, 10]
[porvenir, 24]
[pasado, 102]
[espejo, 23]
[refleja, 3]
[soñador, 13]
[queda, 16]
[sueño, 73]
[pudiese, 11]
[vaguedades, 2]
[plazo, 3]
[propias, 16]
[Había, 145]
[cinco, 64]
[codicia, 12]
[idealista, 5]
[contentaba, 10]
[necesitaba, 59]
[hambre, 42]
[espera, 18]
[sed, 18]
[desierto, 18]
[abrasa, 1]
[satisface, 3]
[charco, 6]
[impuro, 3]
[fuente, 15]
[lugar, 46]
[desconocido, 16]
[confesárselo, 5]
[desmayos, 1]
[daban, 61]
[acaso, 47]
[aspirado, 1]
[límite, 3]
[carrera, 22]
[actual, 11]
[obispado, 4]
[sarcasmo, 11]
[sobrecogían, 1]
[vencerlas, 1]
[olvidarlas, 1]
[entregaba, 18]
[goce, 3]
[poderío, 3]
[devoraba, 13]
[levítica, 1]
[león, 8]
[enjaulado, 1]
[pedazos, 13]
[ruines, 4]
[domador, 2]
[arroja, 7]
[Concentrada, 1]
[punto, 91]
[concreto, 5]
[tangible, 2]
[intensa, 13]
[encontraba, 64]
[obstáculo, 6]
[capaz, 43]
[resistir, 26]
[amo, 67]
[garra, 2]
[prisionero, 1]
[voluntario, 4]
[cuenta, 88]
[prisiones, 6]
[huracán, 2]
[castigo, 17]
[bíblico, 3]
[azote, 2]
[sancionado, 2]
[ilustrísima, 1]
[crisis, 15]
[ánimo, 61]
[solían, 28]
[provocarlas, 1]
[noticias, 25]
[nombramiento, 2]
[joven, 91]
[Echaba, 1]
[atrasado, 5]
[podría, 64]
[jerarquía, 4]
[principalmente, 12]
[Don, 375]
[disputaban, 4]
[acabaría, 4]
[devorar, 5]
[solo, 111]
[mezquino, 4]
[imperio, 8]
[arrancarle, 7]
[suyo, 50]
[ganado, 13]
[lid, 3]
[necios, 15]
[vetustenses, 67]
[escarabajos, 3]
[viviendas, 2]
[viejas, 8]
[negruzcas, 1]
[aplastadas, 2]
[creían, 18]
[vanidosos, 1]
[ciudadanos, 2]
[palacios, 9]
[madrigueras, 1]
[cuevas, 6]
[montones, 5]
[topo, 2]
[dueños, 6]
[arruinados, 4]
[Heredar, 1]
[Conquistar, 1]
[chisporroteaba, 1]
[estrecho, 22]
[recinto, 13]
[predicado, 1]
[olfateado, 2]
[gustado, 6]
[alabanza, 4]
[altas, 18]
[breve, 9]
[recuerdo, 40]
[niño, 56]
[precoz, 3]
[ambicionar, 3]
[asaltaba, 1]
[plantas, 12]
[derredor, 2]
[colmo, 12]
[deseos, 37]
[locos, 21]
[material, 37]
[comparando, 4]
[ilusiones, 20]
[infancia, 21]
[dominio, 11]
[prometida, 1]
[cavilaciones, 13]
[niñez, 12]
[llena, 57]
[solitarias, 4]
[melancólicas, 6]
[praderas, 3]
[puertos, 4]
